移动,#genre#
康巴卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225695/1/index.m3u8?fmt=ts2hls
厦门卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225761/1/index.m3u8?fmt=ts2hls
新疆卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225759/1/index.m3u8?fmt=ts2hls
西藏卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225668/1/index.m3u8?fmt=ts2hls
陕西卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225688/1/index.m3u8?fmt=ts2hls
广东南方卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225738/1/index.m3u8?fmt=ts2hls
安多卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225694/1/index.m3u8?fmt=ts2hls
三沙卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225693/1/index.m3u8?fmt=ts2hls
延边卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225721/1/index.m3u8?fmt=ts2hls
优漫卡通,http://39.135.15.93:6610/PLTV/88888888/224/3221225763/1/index.m3u8?fmt=ts2hls
嘉佳卡通,http://39.135.15.93:6610/PLTV/88888888/224/3221225690/1/index.m3u8?fmt=ts2hls
金鹰纪实HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225671/1/index.m3u8?fmt=ts2hls
金鹰纪实HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226064/1/index.m3u8?fmt=ts2hls
金鹰卡通,http://39.135.15.93:6610/PLTV/88888888/224/3221225731/1/index.m3u8?fmt=ts2hls
北京卡酷,http://39.135.15.93:6610/PLTV/88888888/224/3221225732/1/index.m3u8?fmt=ts2hls
哈哈炫动,http://39.135.15.93:6610/PLTV/88888888/224/3221225689/1/index.m3u8?fmt=ts2hls
国学频道,http://39.135.15.93:6610/PLTV/88888888/224/3221225692/1/index.m3u8?fmt=ts2hls
靓妆频道,http://39.135.15.93:6610/PLTV/88888888/224/3221225680/1/index.m3u8?fmt=ts2hls
环球奇观,http://39.135.15.93:6610/PLTV/88888888/224/3221225681/1/index.m3u8?fmt=ts2hls
重庆汽摩,http://39.135.15.93:6610/PLTV/88888888/224/3221225736/1/index.m3u8?fmt=ts2hls
兵团卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225722/1/index.m3u8?fmt=ts2hls
天元围棋,http://39.135.15.93:6610/PLTV/88888888/224/3221225714/1/index.m3u8?fmt=ts2hls
上海纪实HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225767/1/index.m3u8?fmt=ts2hls
北京纪实HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226075/1/index.m3u8?fmt=ts2hls
山东教育卫视,http://39.135.15.93:6610/PLTV/88888888/224/3221225764/1/index.m3u8?fmt=ts2hls
西藏藏语,http://39.135.15.93:6610/PLTV/88888888/224/3221225697/1/index.m3u8?fmt=ts2hls
贵州3,http://39.135.15.93:6610/PLTV/88888888/224/3221225704/1/index.m3u8?fmt=ts2hls
贵州4,http://39.135.15.93:6610/PLTV/88888888/224/3221225740/1/index.m3u8?fmt=ts2hls
贵州5,http://39.135.15.93:6610/PLTV/88888888/224/3221225662/1/index.m3u8?fmt=ts2hls
贵州6,http://39.135.15.93:6610/PLTV/88888888/224/3221225672/1/index.m3u8?fmt=ts2hls
贵州7,http://39.135.15.93:6610/PLTV/88888888/224/3221225741/1/index.m3u8?fmt=ts2hls
贵州移动电视,http://39.135.15.93:6610/PLTV/88888888/224/3221225774/1/index.m3u8?fmt=ts2hls
贵阳1HD,http://39.135.15.93:6610/PLTV/88888888/224/3221226037/1/index.m3u8?fmt=ts2hls
贵阳1HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225743/1/index.m3u8?fmt=ts2hls
贵阳2,http://39.135.15.93:6610/PLTV/88888888/224/3221225684/1/index.m3u8?fmt=ts2hls
贵阳4,http://39.135.15.93:6610/PLTV/88888888/224/3221225705/1/index.m3u8?fmt=ts2hls
贵安电视台,http://39.135.15.93:6610/PLTV/88888888/224/3221225683/1/index.m3u8?fmt=ts2hls
遵义综合,http://39.135.15.93:6610/PLTV/88888888/224/3221226026/1/index.m3u8?fmt=ts2hls
CCTV兵器科技,http://39.135.15.93:6610/PLTV/88888888/224/3221225676/1/index.m3u8?fmt=ts2hls
CCTV电视指南,http://39.135.15.93:6610/PLTV/88888888/224/3221225673/1/index.m3u8?fmt=ts2hls
CCTV第一剧场,http://39.135.15.93:6610/PLTV/88888888/224/3221225702/1/index.m3u8?fmt=ts2hls
CCTV风云剧场,http://39.135.15.93:6610/PLTV/88888888/224/3221225700/1/index.m3u8?fmt=ts2hls
CCTV风云音乐,http://39.135.15.93:6610/PLTV/88888888/224/3221225698/1/index.m3u8?fmt=ts2hls
CCTV风云足球,http://39.135.15.93:6610/PLTV/88888888/224/3221225734/1/index.m3u8?fmt=ts2hls
CCTV高尔夫网球,http://39.135.15.93:6610/PLTV/88888888/224/3221225674/1/index.m3u8?fmt=ts2hls
CCTV怀旧剧场,http://39.135.15.93:6610/PLTV/88888888/224/3221225765/1/index.m3u8?fmt=ts2hls
CCTV老故事,http://39.135.15.93:6610/PLTV/88888888/224/3221225677/1/index.m3u8?fmt=ts2hls
CCTV女性时尚,http://39.135.15.93:6610/PLTV/88888888/224/3221225699/1/index.m3u8?fmt=ts2hls
CCTV世界地理,http://39.135.15.93:6610/PLTV/88888888/224/3221225733/1/index.m3u8?fmt=ts2hls
CCTV中学生,http://39.135.15.93:6610/PLTV/88888888/224/3221225663/1/index.m3u8?fmt=ts2hls
CCTV央视文化精品,http://39.135.15.93:6610/PLTV/88888888/224/3221225675/1/index.m3u8?fmt=ts2hls
CGTN,http://39.135.15.93:6610/PLTV/88888888/224/3221225664/1/index.m3u8?fmt=ts2hls
CGTN记录,http://39.135.15.93:6610/PLTV/88888888/224/3221225670/1/index.m3u8?fmt=ts2hls
CETV-1HD,http://39.135.15.93:6610/PLTV/88888888/224/3221225723/1/index.m3u8?fmt=ts2hls

咪咕,#genre#
CCTV-01咪咕,http://ss.baihuan.online:35455/mgtv/608807420.m3u8
CCTV-02咪咕,http://ss.baihuan.online:35455/mgtv/631780532.m3u8
CCTV-03咪咕,http://ss.baihuan.online:35455/mgtv/624878271.m3u8
CCTV-04咪咕,http://ss.baihuan.online:35455/mgtv/631780421.m3u8
CCTV-05咪咕,http://ss.baihuan.online:35455/mgtv/641886683.m3u8
CCTV-5+咪咕,http://ss.baihuan.online:35455/mgtv/641886773.m3u8
CCTV-06咪咕,http://ss.baihuan.online:35455/mgtv/624878396.m3u8
CCTV-07咪咕,http://ss.baihuan.online:35455/mgtv/673168121.m3u8
CCTV-08咪咕,http://ss.baihuan.online:35455/mgtv/624878356.m3u8
CCTV-09咪咕,http://ss.baihuan.online:35455/mgtv/673168140.m3u8
CCTV-10咪咕,http://ss.baihuan.online:35455/mgtv/624878405.m3u8
CCTV-11咪咕,http://ss.baihuan.online:35455/mgtv/667987558.m3u8
CCTV-12咪咕,http://ss.baihuan.online:35455/mgtv/673168185.m3u8
CCTV-13咪咕,http://ss.baihuan.online:35455/mgtv/608807423.m3u8
CCTV-14咪咕,http://ss.baihuan.online:35455/mgtv/624878440.m3u8
CCTV-15咪咕,http://ss.baihuan.online:35455/mgtv/673168223.m3u8
CCTV-16咪咕,http://ss.baihuan.online:35455/nptv/cctv16.m3u8
CCTV-17咪咕,http://ss.baihuan.online:35455/mgtv/673168256.m3u8
CCTV-4k咪咕,http://ss.baihuan.online:35455/nptv/cctv4k.m3u8
CCTV-8k咪咕,http://ss.baihuan.online:35455/nptv/cctv8k.m3u8
cct4欧洲咪咕,http://ss.baihuan.online:35455/mgtv/608807419.m3u8
cct4美洲咪咕,http://ss.baihuan.online:35455/mgtv/608807416.m3u8
CETV-01咪咕,http://ss.baihuan.online:35455/mgtv/923287154.m3u8
CETV-02咪咕,http://ss.baihuan.online:35455/mgtv/923287211.m3u8
CETV-04咪咕,http://ss.baihuan.online:35455/mgtv/923287339.m3u8
动作电影咪咕,http://ss.baihuan.online:35455/mgtv/644368714.m3u8
家庭影院咪咕,http://ss.baihuan.online:35455/mgtv/644368373.m3u8
影迷电影咪咕,http://ss.baihuan.online:35455/mgtv/952383261.m3u8
东方卫视咪咕,http://ss.baihuan.online:35455/mgtv/651632648.m3u8
江西卫视咪咕,http://ss.baihuan.online:35455/mgtv/783847495.m3u8
